FPR,TPR,Thresholds
0.0,0.0,inf
0.0,0.015403961018547626,0.9217295728538846
0.0,0.07607670543854134,0.9032678823797166
0.0,0.10971392643822697,0.8989535909757868
0.0,0.12386042125117887,0.8861686266847241
0.0,0.3473750392958189,0.8771934894068606
0.4818181818181818,0.4533165671172587,0.8404390958434248
0.4818181818181818,0.511474379126061,0.8258561558772666
0.4818181818181818,0.607356177302735,0.8201238142580608
0.4818181818181818,0.8384155925809493,0.8042716271210071
0.4818181818181818,0.9207796290474694,0.798072600274543
1.0,1.0,0.7734059161550818